#separator:tab
#html:false
O que significa PSV?	Platform Supply Vessel.
Para que são utilizadas as embarcações PSV?	Para transporte de materiais, suprimentos e pessoas.
Que tipo de apoio o PSV presta nas atividades Offshore?	Suporte à construção, manutenção e trabalho submarino.
Por que o PSV requer grandes áreas de convés e tanques?	Para receber granéis líquidos e sólidos.
Para que os equipamentos e a arquitetura do PSV são adaptados nas operações de carga a granel?	Para contenção, sucção, armazenamento e bombeamento de suprimentos e consumíveis diversos.
As cargas a granel transportadas pelo PSV podem ser de quais tipos?	Líquidas ou sólidas.
Dê cinco exemplos de cargas a granel.	Baritina, O.D., água, cimento, cascalhos e etc..
O que deve ser verificado para evitar a petrificação de redes e tanques?	A necessidade de uso de agitadores.
Onde deve haver atenção especial ao posicionamento da força de trabalho durante operações com mangotes?	No convés, durante conexão, desconexão de mangotes ou quando houver risco de chicoteamento.
O que deve ser respeitado para evitar acidentes por rompimento do mangote?	Os limites operacionais.
O que pode acontecer com o mangote em condições adversas?	O maior passeio da embarcação pode causar o rompimento ou a desconexão forçada do mangote.
O que significa AHTS?	Anchor Handling Tug Supply Vessel.
Qual foi a origem do AHTS?	Começou como embarcação para manuseio de âncoras nos EUA.
Por que a tecnologia do AHTS precisou evoluir no Mar do Norte?	Porque eram necessárias operações multitarefas em águas mais profundas, incluindo reboque e manuseio.
Qual é uma das principais atividades do AHTS no manuseio de âncoras?	Dar suporte às operações de posicionamento, manutenção e retirada de sistemas de ancoragem.
Quais fatores influenciam o sucesso de uma operação de manuseio de âncora?	Peso da âncora, tipo de solo, equipamento, profundidade e condições.
O que uma operação de manuseio de âncora pode alterar na embarcação?	A manobrabilidade e a estabilidade da embarcação.
Como é classificada a atividade de manuseio de âncora quanto à criticidade?	É uma atividade de alta criticidade, com taxas de acidentes e incidentes.
Qual é uma das atividades de reboque do AHTS?	Reboque e movimentação de unidades semissubmerviseis, FPSO e outras embarcações. 
O que é a cabresteira?	É um sistema de amarração composto por dois cabos ou amarras ao qual se talinga um cabo de reboque.
Como pode ser composta a cabresteira?	Por cabos de aço ou amarras conectados às pernas da unidade.
Por meio de qual dispositivo a cabresteira pode ser conectada à perna da unidade?	Por um dispositivo chamado smit bracket.
O que são os horns no AHTS?	São estruturas metálicas robustas instaladas na popa do convés, usadas para guiar e conter cabos e amarras durante operações de manuseio e reboque.
Qual é a principal função dos horns durante uma operação de reboque?	Evitar que a linha escape lateralmente sob alta carga.
Como os horns contribuem para a segurança da embarcação?	Evitam problemas de estabilidade e risco de emborcamento.
Quais características de propulsão e capacidade são citadas para o AHTS?	Propulsão convencional e Bollard pull.
Para que o guincho secundário é geralmente utilizado?	Para estivar cabos de ancoragem, dispostos no sarilho (tambor).
Quais acessórios de convés são citados entre os principais equipamentos do AHTS?	Shark jaw/Karm fork, Pinos de reboque; Guide e stop pins; Rolo de popa e horn.
O que são os pinos hidráulicos Guide e Stop?	São pinos do convés principal, acionados remotamente.
Por que os Guide e Stop pins são importantes para a segurança da força de trabalho no convés?	Porque mantêm o sistema sobre o rolo de popa, evitando que “corram” pelo convés.
O que é o A-Frame?	Tipo de guincho em formato de “A” (pórtico), localizado na popa em embarcações de manuseio.
Qual é a função do A-Frame?	Facilitar o lançamento e recolhimento de equipamentos.
Que apoio o AHTS presta a Terminais Oceânicos (T.O.)?	Suporte a operações em terminal oceânico (monoboia) e de transferência de petróleo com aliviadores.
Que atividade relacionada aos mangotes é atribuída ao AHTS no apoio a Terminais Oceânicos?	Manutenção e inspeções de mangotes.
Quando a assistência de um AHTS é obrigatória para aliviadores sem DP?	Para aliviadores sem DP, a assistência de um AHTS é obrigatória.
Quando o AHTS é requerido para aliviadores com DP?	Quando a operação ultrapassa 36 horas ou mediante solicitação do CMT.
Quais são os principais riscos operacionais citados para o AHTS?	Desgaste de materiais e equipamentos do convés; falhas de comunicação passadiço–convés ou passadiço–plataforma; erros de avaliação e pesos suspensos.
Qual material apresenta maior destaque entre os riscos de desgaste operacional?	Principalmente o desgaste dos cabos de aço, que são submetidos a grandes esforços.
O que é um Navio Sísmico?	É uma embarcação utilizada para pesquisa sísmica marítima e prospecção de O&G nas camadas do substrato marinho.
Qual é a finalidade da pesquisa sísmica marítima realizada pelo Navio Sísmico?	Realizar a prospecção de O&G nas camadas do substrato marinho.
Qual é uma das principais características do Navio Sísmico em relação aos cabos?	Ele realiza o reboque de cabos de 6 km de comprimento.
Como são identificadas as extremidades dos cabos rebocados pelo Navio Sísmico?	Por boias com luzes nas extremidades dos cabos.
Que tipo de equipamentos o Navio Sísmico utiliza?	Equipamentos de tecnologia avançada.
Que tipo de embarcação auxilia o Navio Sísmico?	Uma embarcação “batedora” ou assistente.
O que as fontes de ar comprimido fazem na operação do Navio Sísmico?	Emitem ondas de baixa frequência que vão até as camadas do substrato marinho e retornam à superfície.
Qual é a sequência básica da operação sísmica?	Fontes de ar comprimido emitem ondas de baixa frequência; elas vão até as camadas do substrato marinho, retornam à superfície e são captadas por hidrofones presos aos cabos, gerando imagens.
Qual é a condição de manobra do Navio Sísmico durante a operação?	É uma operação de manobra restrita.
Qual é a função da embarcação “batedora” ou assistente?	Fornecer assistência com suprimentos e auxiliar na segurança da navegação, na comunicação e na prevenção de acidentes.
O que significa RSV no contexto das embarcações offshore?	ROV Support Vessel.
Quais são as principais atividades de um RSV relacionadas aos ativos submarinos?	Inspeções, instalações e manutenções de ativos submarinos, incluindo linhas de ancoragem, dutos, poços e Unidades Marítimas.
Que apoio um RSV pode prestar ao lançamento de dutos?	Pode prestar apoio ao lançamento de dutos.
Quais são algumas características de um RSV?	ROV, sistema hidro acústico, guindastes/guinchos de grande capacidade e A-Frame.
Para que o ROV é utilizado em trabalhos que seriam realizados por mergulhadores?	Para realizar trabalhos em profundidades ou situações que não são possíveis de serem realizados por mergulhadores.
Que tipos de intervenções em estruturas submarinas podem ser realizadas com ROV?	Inspeções e intervenções em dutos, linhas de ancoragem, poços, cascos, entre outros.
Quais operações específicas podem ser realizadas com ROV segundo o material?	Dragagem, corte, medição de potencial eletroquímico, aperto de parafusos e conexões de flanges.
