#separator:tab
#html:false
O que significa PLSV?	Pipe Laying Support Vessel.
Qual é a função principal de um PLSV?	Realizar o lançamento de linhas ou dutos flexíveis e rígidos.
Quais tipos de linhas um PLSV pode lançar?	Linhas ou dutos flexíveis e rígidos, com um ou mais sistemas de lançamento.
Para que serve o PLSV na interligação offshore?	Para interligar poços a plataformas de produção e transferência.
Qual é a diferença de vazão indicada para dutos rígidos e flexíveis no material?	Dutos rígidos: alta vazão; dutos flexíveis: baixa vazão.
Quais são as principais características de um PLSV?	Carrossel ou cestas, bobinas, tensionadores, guindastes subsea, torre de lançamento e ROV.
Quais são as três linhas associadas aos poços de produção?	Linha de produção, umbilical e linha anular ou gás lift.
Qual é a função da linha de produção?	Transportar o óleo para a U.M.
Qual é a função do umbilical?	Controlar a abertura e o fechamento das válvulas.
Qual é a função da linha anular ou gás lift?	Fazer a diluição do óleo.
O que é Flowline?	É a ligação entre o poço e a U.M., apoiada no fundo.
O que é Riser?	É a ligação entre a U.M. e a conexão Riser x Flow no fundo, com estrutura mais reforçada devido aos esforços verticais.
Quais operações com dutos flexíveis são citadas para o PLSV?	Lançamento pelos métodos S-Lay e J-Lay e recolhimento de dutos flexíveis.
O que caracteriza o método S-Lay?	O tubo é montado horizontalmente na embarcação e forma um “S” até tocar o leito marinho.
Para quais profundidades o S-Lay é indicado no material?	Para águas rasas e médias, até aproximadamente 1500–2000 m.
Por que o S-Lay apresenta limitação em águas muito profundas?	Porque o peso do tubo pendurado pode quebrar a linha pela ação da gravidade.
O que caracteriza o método J-Lay?	O tubo é montado na base vertical dentro da torre e desce diretamente para o mar.
Para que profundidades o J-Lay é indicado no material?	Para profundidades superiores a 2000 m.
O que acontece com a linha no método J-Lay ao atingir o leito marinho?	Ela curva quando toca o leito marinho.
Qual é a velocidade média indicada para o processo J-Lay?	0,15 m/s.
Qual é uma característica operacional do J-Lay em relação ao S-Lay?	O J-Lay é mais lento e mais caro.
O que o método J-Lay necessita?	De Moonpool.
Como é realizado o lançamento de uma linha rígida?	A embarcação lança a linha e navega em baixa velocidade, mantendo a linha sob tensão para evitar deformidades.
Por que o lançamento de linha rígida exige atenção à propulsão da embarcação?	Porque há muito peso no sistema, exigindo bastante da potência de propulsão.
Por que o posicionamento DP é importante no lançamento de linha rígida?	Porque é necessário manter atenção ao posicionamento da embarcação durante a operação.
Como podem ser preparadas as linhas rígidas para lançamento?	Podem vir com tamanho pré-estabelecido ou ter seções soldadas no convés para lançamento.
O que é VCM ou CVD?	É a conexão vertical direta para interligação de equipamentos no leito marinho.
O que significa DCVD no contexto das operações do PLSV?	Desconexão vertical direta.
Quando pode ocorrer o abandono de uma linha durante a operação?	Em situações como mau tempo, para evitar avarias no sistema.
O que é a operação de abandono e recolhimento de linha?	É deixar ou recolher linhas abandonadas, inclusive em situações de emergência.
O que é Pull in?	É a transferência de uma extremidade de uma linha para conexão em uma U.M.
Que operação é citada em conjunto com Pull in?	Pull out.
Com qual tipo de embarcação o PLSV pode realizar SIMOPS?	Com SDSV.
Quais aspectos são destacados nas operações do PLSV com ROV?	Comunicação, telas de monitoramento e interação entre a equipe técnica de survey e a equipe de ROV.
Qual é a função do carretel ou das cestas no PLSV para duto flexível?	Armazenar linhas flexíveis e permitir testes elétricos e de pressão.
Onde geralmente ficam o carretel ou as cestas de duto flexível?	No piso inferior do CNV principal.
Qual é a função das bobinas no PLSV para duto flexível?	Armazenar e realizar testes de linhas.
Onde ficam as bobinas citadas para duto flexível?	Sobre trilhos, no CNV principal.
Como funciona o Reel para duto rígido?	Pode haver mais de um Reel de carregamento e apenas um Reel de lançamento na torre.
Qual é a função do Reel no sistema de duto rígido?	Armazenar linhas.
Como é feito o carregamento do Reel de duto rígido?	Pela popa.
Que característica operacional é associada ao Reel de duto rígido?	Alto custo de operação, por ser mais lento.
Para que servem os tensionadores de carregamento?	Ajudam no carregamento da linha vinda de um terminal.
Como são constituídos os tensionadores de carregamento?	Por “lagartas” ou tracks que pressionam o diâmetro da linha de forma uniforme durante o carregamento.
Qual é a função da torre de lançamento?	É a área principal do PLSV e assume configurações diferentes conforme o método de lançamento.
Que atividades se concentram na torre de lançamento?	Soldagem, tensionadores, aligners e straighteners para embarcações de lançamento de dutos rígidos.
O que pode acontecer com a torre de lançamento conforme a lâmina de água?	Ela pode se inclinar de acordo com a lâmina de água de lançamento.
Qual é a função do hatch de lançamento?	Permitir o lançamento da linha.
Onde fica o hatch de lançamento?	Próximo à torre de lançamento, dependendo do projeto da embarcação.
Para que serve o guindaste subsea/offshore no PLSV?	Para transporte de carga interno e/ou para o leito marinho.
O que significa AHC no contexto do guindaste subsea/offshore?	É a característica indicada no material para o guindaste subsea/offshore.
Quantos guindastes subsea/offshore um PLSV pode ter?	Pode haver mais de um.
Que sistema adicional pode existir associado aos guindastes?	Sistema de anti-heeling.
Quais são os principais riscos destacados nas operações do PLSV?	Alta complexidade, sistemas sob tensão, danos ao patrimônio, danos ambientais e erros humanos.
Que tipos de danos ao patrimônio podem ocorrer nas operações do PLSV?	Danos a estruturas submarinas e unidades.
Que fatores de erro humano são citados nas operações do PLSV?	Cálculos, angulações, posicionamento seguro, percepção de risco e condições ambientais.
